Job Title,Company Name,Required Skills,Location,Industry,Job Type,Experience Level,Posting Date,Salary Range
HR Manager,Salesforce,"['Recruitment', 'Performance Management', 'Employee Relations', 'HRIS']",Austin,Tech,Contract,Senior,2023-08-04,60k-80k
Customer Success Manager,Accenture,"['Account Management', 'Client Relations', 'Upselling', 'CRM']",Austin,Consulting,Part-Time,Mid-level,2022-11-29,80k-100k
Front-End Developer,Google,"['HTML', 'CSS', 'JavaScript', 'React']",Toronto,Education,Part-Time,Senior,2023-09-17,80k-100k
Social Media Manager,Facebook,"['Content Creation', 'Facebook Ads', 'Instagram', 'Social Media Analytics']",Sydney,Tech,Internship,Mid-level,2023-07-26,120k-150k
Project Manager,Facebook,"['Project Management', 'Agile', 'Risk Management', 'MS Project']",Remote,Manufacturing,Part-Time,Mid-level,2024-05-30,150k-200k
Technical Product Manager,Adobe,"['Agile', 'Technical Writing', 'API', 'Software Development']",San Francisco,Marketing,Internship,Mid-level,2024-03-25,80k-100k
Talent Acquisition,Tesla,"['Recruitment', 'Employer Branding', 'Candidate Experience', 'Negotiation']",Toronto,Finance,Internship,Mid-level,2024-08-19,120k-150k
Data Scientist,Salesforce,"['Python', 'R', 'Machine Learning', 'Statistics']",London,Manufacturing,Part-Time,Entry-level,2023-06-25,100k-120k
Financial Analyst,Facebook,"['Excel', 'Financial Modeling', 'Forecasting', 'Budgeting']",Austin,Consulting,Full-Time,Entry-level,2022-06-22,120k-150k
Digital Marketing Specialist,Facebook,"['SEO', 'Google Analytics', 'Content Marketing', 'PPC']",London,Finance,Full-Time,Senior,2022-04-23,80k-100k
Customer Success Manager,Google,"['Account Management', 'Client Relations', 'Upselling', 'CRM']",New York,Manufacturing,Internship,Mid-level,2023-10-16,120k-150k
Customer Support Specialist,Tesla,"['Customer Service', 'CRM', 'Communication', 'Troubleshooting']",San Francisco,E-commerce,Contract,Mid-level,2022-05-31,60k-80k
Recruitment Specialist,Netflix,"['Talent Sourcing', 'Interviewing', 'ATS', 'Candidate Screening']",Austin,Healthcare,Contract,Senior,2021-11-05,80k-100k
Accountant,Accenture,"['QuickBooks', 'Tax Preparation', 'Financial Reporting', 'Excel']",New York,Marketing,Internship,Senior,2024-09-04,100k-120k
Software Engineer,IBM,"['Java', 'Python', 'C++', 'AWS']",Austin,Marketing,Full-Time,Senior,2023-02-23,150k-200k
Back-End Developer,Tesla,"['Node.js', 'Python', 'SQL', 'API Development']",New York,Healthcare,Part-Time,Entry-level,2022-02-19,150k-200k
Accountant,IBM,"['QuickBooks', 'Tax Preparation', 'Financial Reporting', 'Excel']",Austin,Marketing,Full-Time,Senior,2024-07-24,150k-200k
Financial Analyst,Netflix,"['Excel', 'Financial Modeling', 'Forecasting', 'Budgeting']",Remote,Education,Full-Time,Senior,2023-05-09,60k-80k
Talent Acquisition,Amazon,"['Recruitment', 'Employer Branding', 'Candidate Experience', 'Negotiation']",London,E-commerce,Part-Time,Senior,2023-04-28,80k-100k
Accountant,Amazon,"['QuickBooks', 'Tax Preparation', 'Financial Reporting', 'Excel']",Austin,Healthcare,Contract,Entry-level,2024-01-02,100k-120k
Talent Acquisition,Netflix,"['Recruitment', 'Employer Branding', 'Candidate Experience', 'Negotiation']",Toronto,Marketing,Part-Time,Senior,2024-07-15,60k-80k
Technical Product Manager,Microsoft,"['Agile', 'Technical Writing', 'API', 'Software Development']",Seattle,Consulting,Full-Time,Mid-level,2022-12-05,150k-200k
HR Manager,Salesforce,"['Recruitment', 'Performance Management', 'Employee Relations', 'HRIS']",Chicago,Marketing,Contract,Mid-level,2023-01-30,120k-150k
HR Manager,Microsoft,"['Recruitment', 'Performance Management', 'Employee Relations', 'HRIS']",Sydney,Manufacturing,Contract,Mid-level,2023-01-23,150k-200k
Software Engineer,Salesforce,"['Java', 'Python', 'C++', 'AWS']",Remote,E-commerce,Internship,Mid-level,2023-11-19,150k-200k
Full-Stack Developer,Google,"['JavaScript', 'React', 'Node.js', 'SQL']",Seattle,Finance,Full-Time,Entry-level,2022-09-18,150k-200k
Recruitment Specialist,Netflix,"['Talent Sourcing', 'Interviewing', 'ATS', 'Candidate Screening']",Sydney,Marketing,Internship,Mid-level,2021-10-13,120k-150k
Back-End Developer,Amazon,"['Node.js', 'Python', 'SQL', 'API Development']",London,Healthcare,Part-Time,Senior,2024-06-09,100k-120k
Customer Support Specialist,Tesla,"['Customer Service', 'CRM', 'Communication', 'Troubleshooting']",San Francisco,Manufacturing,Contract,Senior,2021-10-17,150k-200k
Project Manager,IBM,"['Project Management', 'Agile', 'Risk Management', 'MS Project']",London,Manufacturing,Part-Time,Mid-level,2021-12-22,100k-120k
Customer Support Specialist,Microsoft,"['Customer Service', 'CRM', 'Communication', 'Troubleshooting']",Seattle,Healthcare,Internship,Senior,2024-05-27,60k-80k
Product Manager,Adobe,"['Agile', 'Scrum', 'Leadership', 'Communication']",Seattle,E-commerce,Contract,Mid-level,2024-05-10,150k-200k
SEO Analyst,Netflix,"['SEO', 'Keyword Research', 'Google Analytics', 'Backlink Analysis']",New York,Education,Internship,Mid-level,2023-08-27,120k-150k
Social Media Manager,Google,"['Content Creation', 'Facebook Ads', 'Instagram', 'Social Media Analytics']",Chicago,Marketing,Part-Time,Mid-level,2022-03-05,80k-100k
Back-End Developer,Adobe,"['Node.js', 'Python', 'SQL', 'API Development']",New York,E-commerce,Full-Time,Mid-level,2024-05-02,150k-200k
Social Media Manager,Microsoft,"['Content Creation', 'Facebook Ads', 'Instagram', 'Social Media Analytics']",San Francisco,Manufacturing,Contract,Mid-level,2023-03-13,150k-200k
Front-End Developer,Amazon,"['HTML', 'CSS', 'JavaScript', 'React']",London,Marketing,Internship,Mid-level,2022-11-09,120k-150k
Project Manager,IBM,"['Project Management', 'Agile', 'Risk Management', 'MS Project']",New York,E-commerce,Internship,Mid-level,2022-10-09,150k-200k
Software Engineer,Netflix,"['Java', 'Python', 'C++', 'AWS']",New York,Education,Part-Time,Mid-level,2021-10-22,150k-200k
SEO Analyst,Tesla,"['SEO', 'Keyword Research', 'Google Analytics', 'Backlink Analysis']",Seattle,Education,Part-Time,Entry-level,2022-04-22,150k-200k
Investment Analyst,Adobe,"['Financial Modeling', 'Valuation', 'Portfolio Management', 'Excel']",Chicago,Finance,Contract,Entry-level,2022-02-14,60k-80k
Recruitment Specialist,Google,"['Talent Sourcing', 'Interviewing', 'ATS', 'Candidate Screening']",Seattle,Marketing,Part-Time,Senior,2023-04-22,60k-80k
Financial Analyst,Tesla,"['Excel', 'Financial Modeling', 'Forecasting', 'Budgeting']",New York,Tech,Full-Time,Entry-level,2022-09-05,120k-150k
Financial Analyst,Adobe,"['Excel', 'Financial Modeling', 'Forecasting', 'Budgeting']",Berlin,Marketing,Part-Time,Entry-level,2023-08-17,120k-150k
Social Media Manager,Adobe,"['Content Creation', 'Facebook Ads', 'Instagram', 'Social Media Analytics']",Berlin,Tech,Contract,Mid-level,2022-03-14,100k-120k
Social Media Manager,Google,"['Content Creation', 'Facebook Ads', 'Instagram', 'Social Media Analytics']",Chicago,Education,Internship,Mid-level,2023-04-01,100k-120k
Talent Acquisition,Netflix,"['Recruitment', 'Employer Branding', 'Candidate Experience', 'Negotiation']",Sydney,Consulting,Internship,Mid-level,2021-11-07,80k-100k
Product Manager,Facebook,"['Agile', 'Scrum', 'Leadership', 'Communication']",San Francisco,Consulting,Part-Time,Entry-level,2021-11-17,150k-200k
Customer Success Manager,Amazon,"['Account Management', 'Client Relations', 'Upselling', 'CRM']",Berlin,Tech,Full-Time,Senior,2023-11-10,100k-120k
Business Intelligence Analyst,Adobe,"['SQL', 'Power BI', 'Data Warehousing', 'Excel']",Seattle,Tech,Part-Time,Entry-level,2023-03-24,150k-200k
SEO Analyst,Microsoft,"['SEO', 'Keyword Research', 'Google Analytics', 'Backlink Analysis']",Austin,Finance,Full-Time,Senior,2022-12-03,120k-150k
Product Manager,Accenture,"['Agile', 'Scrum', 'Leadership', 'Communication']",Seattle,E-commerce,Full-Time,Mid-level,2022-02-28,100k-120k
Front-End Developer,Facebook,"['HTML', 'CSS', 'JavaScript', 'React']",San Francisco,Consulting,Full-Time,Mid-level,2024-03-07,100k-120k
Front-End Developer,Amazon,"['HTML', 'CSS', 'JavaScript', 'React']",Toronto,Manufacturing,Full-Time,Mid-level,2022-09-06,100k-120k
Front-End Developer,Salesforce,"['HTML', 'CSS', 'JavaScript', 'React']",London,Education,Contract,Entry-level,2023-12-28,60k-80k
Digital Marketing Specialist,Adobe,"['SEO', 'Google Analytics', 'Content Marketing', 'PPC']",Austin,Healthcare,Full-Time,Entry-level,2024-09-20,80k-100k
Project Manager,Amazon,"['Project Management', 'Agile', 'Risk Management', 'MS Project']",Berlin,E-commerce,Part-Time,Senior,2021-11-17,150k-200k
Customer Support Specialist,Salesforce,"['Customer Service', 'CRM', 'Communication', 'Troubleshooting']",Remote,Consulting,Internship,Mid-level,2021-11-12,100k-120k
Product Manager,Adobe,"['Agile', 'Scrum', 'Leadership', 'Communication']",San Francisco,Consulting,Contract,Entry-level,2022-05-03,80k-100k
Recruitment Specialist,Adobe,"['Talent Sourcing', 'Interviewing', 'ATS', 'Candidate Screening']",Berlin,E-commerce,Full-Time,Mid-level,2023-02-10,120k-150k
Product Manager,Microsoft,"['Agile', 'Scrum', 'Leadership', 'Communication']",London,E-commerce,Contract,Senior,2024-03-02,80k-100k
Financial Analyst,Salesforce,"['Excel', 'Financial Modeling', 'Forecasting', 'Budgeting']",New York,Tech,Contract,Mid-level,2023-08-21,60k-80k
Recruitment Specialist,Microsoft,"['Talent Sourcing', 'Interviewing', 'ATS', 'Candidate Screening']",Toronto,Marketing,Full-Time,Mid-level,2022-01-17,60k-80k
Software Engineer,Microsoft,"['Java', 'Python', 'C++', 'AWS']",Seattle,Healthcare,Full-Time,Entry-level,2024-05-10,60k-80k
Full-Stack Developer,IBM,"['JavaScript', 'React', 'Node.js', 'SQL']",Austin,Consulting,Part-Time,Mid-level,2023-02-08,120k-150k
Data Analyst,Facebook,"['Python', 'SQL', 'Tableau', 'Excel']",London,Tech,Contract,Senior,2024-06-30,100k-120k
Customer Success Manager,Tesla,"['Account Management', 'Client Relations', 'Upselling', 'CRM']",London,E-commerce,Internship,Mid-level,2023-09-16,150k-200k
Product Manager,Tesla,"['Agile', 'Scrum', 'Leadership', 'Communication']",London,Manufacturing,Part-Time,Mid-level,2022-07-18,60k-80k
Business Intelligence Analyst,Adobe,"['SQL', 'Power BI', 'Data Warehousing', 'Excel']",Chicago,E-commerce,Internship,Senior,2024-01-28,100k-120k
Customer Support Specialist,Salesforce,"['Customer Service', 'CRM', 'Communication', 'Troubleshooting']",Berlin,Consulting,Contract,Mid-level,2022-11-25,150k-200k
SEO Analyst,Accenture,"['SEO', 'Keyword Research', 'Google Analytics', 'Backlink Analysis']",New York,Consulting,Contract,Senior,2023-03-29,120k-150k
Accountant,Adobe,"['QuickBooks', 'Tax Preparation', 'Financial Reporting', 'Excel']",Remote,E-commerce,Contract,Entry-level,2023-01-14,80k-100k
Software Engineer,Adobe,"['Java', 'Python', 'C++', 'AWS']",New York,Consulting,Contract,Entry-level,2023-07-04,150k-200k
Product Manager,Netflix,"['Agile', 'Scrum', 'Leadership', 'Communication']",Berlin,E-commerce,Contract,Mid-level,2023-06-29,60k-80k
HR Manager,Adobe,"['Recruitment', 'Performance Management', 'Employee Relations', 'HRIS']",Remote,E-commerce,Contract,Senior,2024-07-20,120k-150k
Business Intelligence Analyst,Netflix,"['SQL', 'Power BI', 'Data Warehousing', 'Excel']",Chicago,E-commerce,Full-Time,Mid-level,2022-11-15,150k-200k
Accountant,Google,"['QuickBooks', 'Tax Preparation', 'Financial Reporting', 'Excel']",San Francisco,E-commerce,Full-Time,Senior,2023-02-04,100k-120k
Full-Stack Developer,IBM,"['JavaScript', 'React', 'Node.js', 'SQL']",Berlin,Education,Internship,Entry-level,2022-03-18,60k-80k
Technical Product Manager,Accenture,"['Agile', 'Technical Writing', 'API', 'Software Development']",Seattle,Consulting,Full-Time,Mid-level,2023-04-13,80k-100k
Digital Marketing Specialist,Salesforce,"['SEO', 'Google Analytics', 'Content Marketing', 'PPC']",Berlin,Marketing,Full-Time,Entry-level,2024-01-31,150k-200k
Back-End Developer,Facebook,"['Node.js', 'Python', 'SQL', 'API Development']",Seattle,Healthcare,Full-Time,Entry-level,2022-03-14,80k-100k
Business Intelligence Analyst,Facebook,"['SQL', 'Power BI', 'Data Warehousing', 'Excel']",Seattle,Finance,Part-Time,Mid-level,2024-09-23,120k-150k
Front-End Developer,Google,"['HTML', 'CSS', 'JavaScript', 'React']",Seattle,Education,Internship,Senior,2023-06-15,60k-80k
Product Manager,Facebook,"['Agile', 'Scrum', 'Leadership', 'Communication']",Toronto,Manufacturing,Internship,Entry-level,2023-08-16,150k-200k
HR Manager,Accenture,"['Recruitment', 'Performance Management', 'Employee Relations', 'HRIS']",Berlin,E-commerce,Part-Time,Senior,2024-04-26,150k-200k
Accountant,Adobe,"['QuickBooks', 'Tax Preparation', 'Financial Reporting', 'Excel']",Sydney,E-commerce,Full-Time,Entry-level,2024-07-19,80k-100k
Software Engineer,Google,"['Java', 'Python', 'C++', 'AWS']",New York,Finance,Part-Time,Senior,2022-08-12,80k-100k
Customer Support Specialist,IBM,"['Customer Service', 'CRM', 'Communication', 'Troubleshooting']",London,Education,Contract,Entry-level,2021-11-10,100k-120k
Product Manager,IBM,"['Agile', 'Scrum', 'Leadership', 'Communication']",Chicago,Marketing,Full-Time,Entry-level,2022-02-27,80k-100k
Customer Success Manager,IBM,"['Account Management', 'Client Relations', 'Upselling', 'CRM']",Seattle,Education,Internship,Senior,2022-07-12,100k-120k
Project Manager,Salesforce,"['Project Management', 'Agile', 'Risk Management', 'MS Project']",Chicago,Finance,Internship,Mid-level,2022-01-18,100k-120k
Financial Analyst,Accenture,"['Excel', 'Financial Modeling', 'Forecasting', 'Budgeting']",Remote,Finance,Full-Time,Senior,2023-04-19,80k-100k
Talent Acquisition,Netflix,"['Recruitment', 'Employer Branding', 'Candidate Experience', 'Negotiation']",Berlin,Healthcare,Internship,Senior,2023-12-20,60k-80k
Back-End Developer,Tesla,"['Node.js', 'Python', 'SQL', 'API Development']",Remote,Education,Full-Time,Mid-level,2023-08-28,120k-150k
Financial Analyst,Netflix,"['Excel', 'Financial Modeling', 'Forecasting', 'Budgeting']",Toronto,E-commerce,Part-Time,Senior,2022-09-27,120k-150k
Front-End Developer,Salesforce,"['HTML', 'CSS', 'JavaScript', 'React']",Toronto,Healthcare,Full-Time,Entry-level,2021-11-01,150k-200k
Data Scientist,Salesforce,"['Python', 'R', 'Machine Learning', 'Statistics']",New York,Finance,Internship,Entry-level,2024-08-16,60k-80k
Product Manager,Salesforce,"['Agile', 'Scrum', 'Leadership', 'Communication']",Remote,Finance,Internship,Entry-level,2023-09-22,100k-120k
Technical Product Manager,Microsoft,"['Agile', 'Technical Writing', 'API', 'Software Development']",Toronto,Consulting,Part-Time,Senior,2023-05-11,80k-100k
Technical Product Manager,Microsoft,"['Agile', 'Technical Writing', 'API', 'Software Development']",San Francisco,E-commerce,Internship,Mid-level,2024-03-09,60k-80k
Data Scientist,Accenture,"['Python', 'R', 'Machine Learning', 'Statistics']",Berlin,E-commerce,Contract,Entry-level,2023-11-20,150k-200k
Social Media Manager,IBM,"['Content Creation', 'Facebook Ads', 'Instagram', 'Social Media Analytics']",London,Manufacturing,Internship,Senior,2024-07-20,150k-200k
Investment Analyst,Adobe,"['Financial Modeling', 'Valuation', 'Portfolio Management', 'Excel']",London,E-commerce,Part-Time,Senior,2023-12-22,60k-80k
Business Intelligence Analyst,Tesla,"['SQL', 'Power BI', 'Data Warehousing', 'Excel']",Austin,Education,Contract,Senior,2024-10-03,80k-100k
Business Intelligence Analyst,Netflix,"['SQL', 'Power BI', 'Data Warehousing', 'Excel']",Chicago,Education,Internship,Mid-level,2022-12-18,150k-200k
Accountant,Amazon,"['QuickBooks', 'Tax Preparation', 'Financial Reporting', 'Excel']",Chicago,Manufacturing,Internship,Mid-level,2022-09-27,150k-200k
Data Analyst,Google,"['Python', 'SQL', 'Tableau', 'Excel']",Remote,Consulting,Part-Time,Senior,2021-12-23,100k-120k
HR Manager,Facebook,"['Recruitment', 'Performance Management', 'Employee Relations', 'HRIS']",San Francisco,E-commerce,Full-Time,Mid-level,2024-01-24,60k-80k
Product Manager,Netflix,"['Agile', 'Scrum', 'Leadership', 'Communication']",Austin,Healthcare,Part-Time,Senior,2022-06-11,80k-100k
Back-End Developer,Google,"['Node.js', 'Python', 'SQL', 'API Development']",Berlin,Manufacturing,Full-Time,Entry-level,2023-08-27,120k-150k
HR Manager,Adobe,"['Recruitment', 'Performance Management', 'Employee Relations', 'HRIS']",Remote,Tech,Full-Time,Senior,2024-04-10,60k-80k
Customer Success Manager,Accenture,"['Account Management', 'Client Relations', 'Upselling', 'CRM']",Seattle,Healthcare,Contract,Mid-level,2023-06-09,120k-150k
Business Intelligence Analyst,Adobe,"['SQL', 'Power BI', 'Data Warehousing', 'Excel']",Berlin,Marketing,Part-Time,Entry-level,2024-07-14,120k-150k
Software Engineer,Tesla,"['Java', 'Python', 'C++', 'AWS']",Berlin,Finance,Full-Time,Entry-level,2024-02-27,60k-80k
Technical Product Manager,Netflix,"['Agile', 'Technical Writing', 'API', 'Software Development']",Chicago,Tech,Contract,Senior,2024-06-27,150k-200k
Social Media Manager,Adobe,"['Content Creation', 'Facebook Ads', 'Instagram', 'Social Media Analytics']",Remote,Tech,Contract,Senior,2022-07-20,60k-80k
SEO Analyst,Facebook,"['SEO', 'Keyword Research', 'Google Analytics', 'Backlink Analysis']",Austin,Education,Internship,Senior,2021-12-18,60k-80k
Social Media Manager,Amazon,"['Content Creation', 'Facebook Ads', 'Instagram', 'Social Media Analytics']",Remote,Consulting,Internship,Mid-level,2022-04-07,120k-150k
Accountant,Salesforce,"['QuickBooks', 'Tax Preparation', 'Financial Reporting', 'Excel']",Austin,E-commerce,Part-Time,Mid-level,2022-07-27,80k-100k
HR Manager,Accenture,"['Recruitment', 'Performance Management', 'Employee Relations', 'HRIS']",Remote,Manufacturing,Part-Time,Senior,2023-11-01,150k-200k
Product Manager,IBM,"['Agile', 'Scrum', 'Leadership', 'Communication']",Chicago,Healthcare,Internship,Senior,2024-02-05,120k-150k
Social Media Manager,Netflix,"['Content Creation', 'Facebook Ads', 'Instagram', 'Social Media Analytics']",San Francisco,Education,Part-Time,Mid-level,2023-07-07,60k-80k
SEO Analyst,Facebook,"['SEO', 'Keyword Research', 'Google Analytics', 'Backlink Analysis']",Toronto,E-commerce,Part-Time,Mid-level,2023-09-01,100k-120k
Talent Acquisition,Accenture,"['Recruitment', 'Employer Branding', 'Candidate Experience', 'Negotiation']",Seattle,Tech,Contract,Entry-level,2024-03-05,80k-100k
Data Scientist,Salesforce,"['Python', 'R', 'Machine Learning', 'Statistics']",Berlin,Manufacturing,Contract,Mid-level,2024-08-08,150k-200k
Investment Analyst,Salesforce,"['Financial Modeling', 'Valuation', 'Portfolio Management', 'Excel']",Toronto,E-commerce,Contract,Senior,2022-03-20,60k-80k
SEO Analyst,Facebook,"['SEO', 'Keyword Research', 'Google Analytics', 'Backlink Analysis']",San Francisco,Tech,Internship,Mid-level,2022-06-13,60k-80k
Digital Marketing Specialist,Amazon,"['SEO', 'Google Analytics', 'Content Marketing', 'PPC']",San Francisco,Tech,Part-Time,Mid-level,2024-02-26,120k-150k
Full-Stack Developer,Tesla,"['JavaScript', 'React', 'Node.js', 'SQL']",Remote,Healthcare,Full-Time,Mid-level,2023-02-09,150k-200k
Social Media Manager,Google,"['Content Creation', 'Facebook Ads', 'Instagram', 'Social Media Analytics']",London,Tech,Part-Time,Mid-level,2023-07-30,120k-150k
Accountant,Google,"['QuickBooks', 'Tax Preparation', 'Financial Reporting', 'Excel']",San Francisco,Consulting,Part-Time,Mid-level,2022-12-08,120k-150k
Financial Analyst,Microsoft,"['Excel', 'Financial Modeling', 'Forecasting', 'Budgeting']",Seattle,Tech,Part-Time,Entry-level,2023-04-29,150k-200k
Talent Acquisition,Netflix,"['Recruitment', 'Employer Branding', 'Candidate Experience', 'Negotiation']",Chicago,E-commerce,Full-Time,Senior,2024-01-24,150k-200k
HR Manager,Facebook,"['Recruitment', 'Performance Management', 'Employee Relations', 'HRIS']",Chicago,Finance,Contract,Senior,2022-07-14,150k-200k
Accountant,Tesla,"['QuickBooks', 'Tax Preparation', 'Financial Reporting', 'Excel']",New York,Consulting,Contract,Entry-level,2023-04-02,120k-150k
Accountant,Tesla,"['QuickBooks', 'Tax Preparation', 'Financial Reporting', 'Excel']",Berlin,Education,Part-Time,Mid-level,2021-11-05,120k-150k
HR Manager,Google,"['Recruitment', 'Performance Management', 'Employee Relations', 'HRIS']",Austin,Healthcare,Contract,Entry-level,2022-07-31,100k-120k
HR Manager,Accenture,"['Recruitment', 'Performance Management', 'Employee Relations', 'HRIS']",Remote,E-commerce,Part-Time,Entry-level,2024-07-24,120k-150k
Customer Support Specialist,IBM,"['Customer Service', 'CRM', 'Communication', 'Troubleshooting']",San Francisco,E-commerce,Internship,Mid-level,2023-05-26,120k-150k
Customer Success Manager,Salesforce,"['Account Management', 'Client Relations', 'Upselling', 'CRM']",Austin,Marketing,Part-Time,Mid-level,2024-08-19,60k-80k
Product Manager,Microsoft,"['Agile', 'Scrum', 'Leadership', 'Communication']",Toronto,Education,Contract,Mid-level,2024-05-16,80k-100k
Digital Marketing Specialist,IBM,"['SEO', 'Google Analytics', 'Content Marketing', 'PPC']",Berlin,Education,Full-Time,Senior,2024-02-14,80k-100k
Recruitment Specialist,Netflix,"['Talent Sourcing', 'Interviewing', 'ATS', 'Candidate Screening']",Sydney,Consulting,Internship,Entry-level,2023-04-19,120k-150k
Full-Stack Developer,Google,"['JavaScript', 'React', 'Node.js', 'SQL']",Toronto,Marketing,Internship,Mid-level,2023-12-23,120k-150k
Customer Support Specialist,Google,"['Customer Service', 'CRM', 'Communication', 'Troubleshooting']",London,Healthcare,Internship,Entry-level,2021-11-07,100k-120k
Project Manager,Facebook,"['Project Management', 'Agile', 'Risk Management', 'MS Project']",Toronto,Tech,Contract,Entry-level,2022-06-20,80k-100k
Business Intelligence Analyst,Netflix,"['SQL', 'Power BI', 'Data Warehousing', 'Excel']",Sydney,Finance,Internship,Senior,2023-07-03,80k-100k
Customer Support Specialist,Tesla,"['Customer Service', 'CRM', 'Communication', 'Troubleshooting']",London,Consulting,Part-Time,Senior,2021-10-07,150k-200k
Back-End Developer,Facebook,"['Node.js', 'Python', 'SQL', 'API Development']",Austin,Manufacturing,Internship,Mid-level,2021-11-23,80k-100k
Talent Acquisition,Tesla,"['Recruitment', 'Employer Branding', 'Candidate Experience', 'Negotiation']",Berlin,E-commerce,Internship,Entry-level,2023-10-19,120k-150k
Software Engineer,Tesla,"['Java', 'Python', 'C++', 'AWS']",Seattle,Tech,Internship,Senior,2021-12-11,150k-200k
SEO Analyst,Google,"['SEO', 'Keyword Research', 'Google Analytics', 'Backlink Analysis']",Toronto,Finance,Full-Time,Entry-level,2023-08-06,100k-120k
Project Manager,IBM,"['Project Management', 'Agile', 'Risk Management', 'MS Project']",Toronto,Manufacturing,Part-Time,Entry-level,2024-04-16,150k-200k
Accountant,Google,"['QuickBooks', 'Tax Preparation', 'Financial Reporting', 'Excel']",Austin,Tech,Full-Time,Entry-level,2024-01-16,150k-200k
Investment Analyst,Amazon,"['Financial Modeling', 'Valuation', 'Portfolio Management', 'Excel']",New York,Tech,Part-Time,Senior,2023-02-25,80k-100k
Investment Analyst,Tesla,"['Financial Modeling', 'Valuation', 'Portfolio Management', 'Excel']",Toronto,E-commerce,Internship,Entry-level,2022-04-16,80k-100k
Customer Support Specialist,Google,"['Customer Service', 'CRM', 'Communication', 'Troubleshooting']",Remote,Healthcare,Full-Time,Entry-level,2021-11-28,120k-150k
